segment_id,frame_number,source_frame_index,mse,mae,psnr
SEG_2726497009_00003,0,539,0.0252852663397789,0.12256255745887756,15.971324674106304
SEG_2726497009_00003,1,564,0.022561945021152496,0.11513891816139221,16.466234633969318
SEG_2726497009_00003,2,590,0.02182858996093273,0.11351705342531204,16.60974317060634
SEG_2726497009_00003,3,616,0.021183455362915993,0.11219307035207748,16.74003198022158
SEG_2726497009_00003,4,641,0.022537918761372566,0.11460904031991959,16.470861908712603
SEG_2726497009_00003,5,667,0.023953862488269806,0.11890390515327454,16.20624447924063
SEG_2726497009_00003,6,693,0.026469578966498375,0.12323526293039322,15.77252966669211
SEG_2726497009_00003,7,719,0.02690008282661438,0.122528076171875,15.702463827824914
SEG_2726497009_00006,0,1079,0.026726193726062775,0.12477182596921921,15.730628879128615
SEG_2726497009_00006,1,1104,0.02878761477768421,0.12946997582912445,15.407943174700735
SEG_2726497009_00006,2,1130,0.02871377021074295,0.12943966686725616,15.419097794916578
SEG_2726497009_00006,3,1156,0.027577349916100502,0.12739916145801544,15.594474702889523
SEG_2726497009_00006,4,1181,0.027331888675689697,0.1264098435640335,15.633303568514478
SEG_2726497009_00006,5,1207,0.02618381194770336,0.12367516756057739,15.819671267944615
SEG_2726497009_00006,6,1233,0.025547653436660767,0.12217167764902115,15.926489838388811
SEG_2726497009_00006,7,1259,0.02521269954741001,0.12255045771598816,15.983806515160705
SEG_3121571439_00000,0,0,0.037856873124837875,0.15704287588596344,14.218552604385161
SEG_3121571439_00000,1,25,0.03413263335824013,0.14635245501995087,14.668302042840747
SEG_3121571439_00000,2,51,0.03682522103190422,0.15226173400878906,14.338546377603283
SEG_3121571439_00000,3,77,0.034842196851968765,0.14653195440769196,14.57894469892593
SEG_3121571439_00000,4,102,0.030177300795912743,0.1325513869524002,15.20319608227258
SEG_3121571439_00000,5,128,0.02918819524347782,0.12536923587322235,15.347927573597069
SEG_3121571439_00000,6,154,0.028512923046946526,0.12525951862335205,15.449582580294914
SEG_3121571439_00000,7,180,0.03073655627667904,0.13178293406963348,15.12344792458112
SEG_3471421544_00008,0,1439,0.010561044327914715,0.0705096498131752,19.762931345081252
SEG_3471421544_00008,1,1464,0.009569981135427952,0.06912799924612045,20.190889183138164
SEG_3471421544_00008,2,1490,0.009736265055835247,0.06724707037210464,20.11607611573416
SEG_3471421544_00008,3,1515,0.009415308944880962,0.06878446787595749,20.26165424892598
SEG_3471421544_00008,4,1541,0.009604090824723244,0.06906602531671524,20.17543741525296
SEG_3471421544_00008,5,1566,0.009559106081724167,0.06806113570928574,20.195827188040507
SEG_3471421544_00008,6,1592,0.009072797372937202,0.0665096715092659,20.422587883179062
SEG_3471421544_00008,7,1618,0.010008526965975761,0.06847340613603592,19.9962983636915
SEG_4483447009_00001,0,180,0.016862452030181885,0.09721120446920395,17.73079272786722
SEG_4483447009_00001,1,205,0.02449742890894413,0.11678779125213623,16.108794939722873
SEG_4483447009_00001,2,231,0.024124978110194206,0.11828669160604477,16.175330720412134
